2010-07-21 16:51:38 Notice: Notice (8): Use of undefined constant Router - assumed 'Router' in [/Users/jmashburn/Documents/Projects/Lance/app/config/routes.php, line 34]
2010-07-22 13:54:54 Notice: Notice (8): Undefined variable: hookConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/config/bootstrap.php, line 64]
2010-07-22 13:56:06 Notice: Notice (8): Uninitialized string offset:  0 in [/Users/jmashburn/Documents/Projects/Lance/app/config/bootstrap.php, line 62]
2010-07-22 13:56:32 Notice: Notice (8): Uninitialized string offset:  0 in [/Users/jmashburn/Documents/Projects/Lance/app/config/bootstrap.php, line 62]
2010-07-22 13:56:33 Notice: Notice (8): Uninitialized string offset:  0 in [/Users/jmashburn/Documents/Projects/Lance/app/config/bootstrap.php, line 62]
2010-07-22 13:56:33 Notice: Notice (8): Uninitialized string offset:  0 in [/Users/jmashburn/Documents/Projects/Lance/app/config/bootstrap.php, line 62]
2010-07-22 14:52:26 Notice: Notice (8): Undefined variable: base in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/dispatcher.php, line 325]
2010-07-22 14:52:26 Notice: Notice (8): Undefined variable: baseUrl in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/dispatcher.php, line 332]
2010-07-22 14:52:26 Notice: Notice (8): Undefined index:  theme in [/Users/jmashburn/Documents/Projects/Lance/app/app_error.php, line 12]
2010-07-22 14:52:26 Notice: Notice (8): Undefined variable: base in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/dispatcher.php, line 325]
2010-07-22 14:52:26 Notice: Notice (8): Undefined variable: baseUrl in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/dispatcher.php, line 332]
2010-07-22 14:52:26 Notice: Notice (8): Undefined index:  theme in [/Users/jmashburn/Documents/Projects/Lance/app/app_error.php, line 12]
2010-07-22 14:52:26 Notice: Notice (8): Undefined variable: base in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/dispatcher.php, line 325]
2010-07-22 14:52:26 Notice: Notice (8): Undefined variable: baseUrl in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/dispatcher.php, line 332]
2010-07-22 14:52:26 Notice: Notice (8): Undefined index:  theme in [/Users/jmashburn/Documents/Projects/Lance/app/app_error.php, line 12]
2010-07-22 14:52:43 Notice: Notice (8): Undefined variable: base in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/dispatcher.php, line 325]
2010-07-22 14:52:43 Notice: Notice (8): Undefined variable: baseUrl in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/dispatcher.php, line 332]
2010-07-22 14:52:43 Notice: Notice (8): Undefined variable: base in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/dispatcher.php, line 325]
2010-07-22 14:52:43 Notice: Notice (8): Undefined variable: baseUrl in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/dispatcher.php, line 332]
2010-07-22 14:52:43 Notice: Notice (8): Undefined variable: base in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/dispatcher.php, line 325]
2010-07-22 14:52:43 Notice: Notice (8): Undefined variable: baseUrl in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/dispatcher.php, line 332]
2010-07-22 14:52:50 Notice: Notice (8): Undefined variable: base in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/dispatcher.php, line 325]
2010-07-22 14:52:50 Notice: Notice (8): Undefined variable: base in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/dispatcher.php, line 325]
2010-07-22 14:52:50 Notice: Notice (8): Undefined variable: base in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/dispatcher.php, line 325]
2010-07-22 14:54:38 Notice: Notice (8): Undefined variable: pluginsRoutes in [/Users/jmashburn/Documents/Projects/Lance/app/config/routes.php, line 19]
2010-07-22 14:54:38 Notice: Notice (8): Undefined variable: pluginsRoutes in [/Users/jmashburn/Documents/Projects/Lance/app/config/routes.php, line 19]
2010-07-22 14:54:38 Notice: Notice (8): Undefined variable: pluginsRoutes in [/Users/jmashburn/Documents/Projects/Lance/app/config/routes.php, line 19]
2010-07-22 14:54:53 Notice: Notice (8): Undefined variable: pluginsRoutes in [/Users/jmashburn/Documents/Projects/Lance/app/config/routes.php, line 19]
2010-07-22 14:54:53 Notice: Notice (8): Undefined variable: pluginsRoutes in [/Users/jmashburn/Documents/Projects/Lance/app/config/routes.php, line 19]
2010-07-22 14:54:53 Notice: Notice (8): Undefined variable: pluginsRoutes in [/Users/jmashburn/Documents/Projects/Lance/app/config/routes.php, line 19]
2010-07-22 15:59:00 Notice: Notice (8): Undefined variable: data in [/Users/jmashburn/Documents/Projects/Lance/app/config/bootstrap.php, line 81]
2010-07-22 15:59:35 Notice: Notice (8): Undefined variable: date in [/Users/jmashburn/Documents/Projects/Lance/app/config/bootstrap.php, line 81]
2010-07-22 16:03:06 Notice: Notice (8): Undefined variable: hookConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/config/bootstrap.php, line 62]
2010-07-22 16:03:06 Notice: Notice (8): Undefined index:  theme in [/Users/jmashburn/Documents/Projects/Lance/app/app_error.php, line 12]
2010-07-22 16:04:05 Notice: Notice (8): Undefined index:  theme in [/Users/jmashburn/Documents/Projects/Lance/app/app_error.php, line 12]
2010-07-22 16:05:23 Notice: Notice (8): Undefined variable: viewPath in [/Users/jmashburn/Documents/Projects/Lance/app/app_error.php, line 21]
2010-07-22 17:23:38 Notice: Notice (8): Trying to get property of non-object in [/Users/jmashburn/Documents/Projects/Lance/app/plugins/install/controllers/wizard_controller.php, line 156]
2010-07-22 18:17:26 Notice: Notice (8): Undefined property: PagesController::$AclFilter in [/Users/jmashburn/Documents/Projects/Lance/app/app_controller.php, line 14]
2010-07-22 21:48:21 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/users/login.ctp, line 18]
2010-07-22 21:50:37 Notice: Notice (8): Undefined index:  Dob in [/Users/jmashburn/Documents/Projects/Lance/app/views/users/register.ctp, line 20]
2010-07-22 21:52:10 Notice: Notice (8): Undefined index:  Dob in [/Users/jmashburn/Documents/Projects/Lance/app/views/users/register.ctp, line 20]
2010-07-22 22:06:47 Notice: Notice (8): Undefined index:  Dob in [/Users/jmashburn/Documents/Projects/Lance/app/views/users/register.ctp, line 20]
2010-07-22 22:07:36 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/users/login.ctp, line 18]
2010-07-22 22:09:28 Notice: Notice (8): Undefined index:  Dob in [/Users/jmashburn/Documents/Projects/Lance/app/views/users/register.ctp, line 20]
2010-07-22 22:09:34 Notice: Notice (8): Undefined index:  Dob in [/Users/jmashburn/Documents/Projects/Lance/app/views/users/register.ctp, line 20]
2010-07-22 22:10:53 Notice: Notice (8): Undefined index:  Dob in [/Users/jmashburn/Documents/Projects/Lance/app/views/users/register.ctp, line 20]
2010-07-22 22:14:42 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/users/login.ctp, line 18]
2010-07-22 22:14:48 Notice: Notice (8): Undefined index:  Dob in [/Users/jmashburn/Documents/Projects/Lance/app/views/users/register.ctp, line 20]
2010-07-22 22:14:54 Notice: Notice (8): Undefined index:  Dob in [/Users/jmashburn/Documents/Projects/Lance/app/views/users/register.ctp, line 20]
2010-07-22 22:20:37 Notice: Notice (8): Undefined index:  Dob in [/Users/jmashburn/Documents/Projects/Lance/app/views/users/register.ctp, line 20]
2010-07-22 22:20:40 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/users/login.ctp, line 18]
2010-07-22 22:20:44 Notice: Notice (8): Undefined index:  Dob in [/Users/jmashburn/Documents/Projects/Lance/app/views/users/register.ctp, line 20]
2010-07-22 22:32:20 Notice: Notice (8): Undefined property: AdminController::$Setting in [/Users/jmashburn/Documents/Projects/Lance/app/app_controller.php, line 18]
2010-07-22 22:33:16 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/users/login.ctp, line 18]
2010-07-22 22:34:29 Notice: Notice (8): Undefined index:  Dob in [/Users/jmashburn/Documents/Projects/Lance/app/views/users/register.ctp, line 20]
2010-07-22 22:41:03 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/users/login.ctp, line 18]
2010-07-22 22:44:08 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/users/login.ctp, line 18]
2010-07-26 09:55:01 Notice: Notice (8): Undefined property: PagesController::$appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/app_controller.php, line 27]
2010-07-26 10:08:30 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/users/login.ctp, line 18]
2010-07-26 10:09:23 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/users/login.ctp, line 18]
2010-07-26 10:17:56 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:17:56 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:17:56 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:17:56 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:17:56 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:17:56 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:17:56 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:17:56 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:26:15 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:26:16 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:26:16 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:26:16 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:26:16 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:26:16 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:26:16 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:26:16 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:42:08 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/admin.ctp, line 6]
2010-07-26 10:42:08 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:42:08 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:42:08 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:42:08 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:42:08 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:42:08 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:42:08 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:42:08 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:42:08 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:42:08 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:02 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/admin.ctp, line 6]
2010-07-26 10:43:02 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:02 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:02 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:02 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:02 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:02 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:03 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:03 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:03 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:03 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:15 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/admin.ctp, line 6]
2010-07-26 10:43:15 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:15 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:15 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:15 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:15 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:15 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:16 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:16 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:16 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:16 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:17 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/admin.ctp, line 6]
2010-07-26 10:43:17 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:17 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:17 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:17 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:17 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:17 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:18 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:18 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:18 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:18 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:55 Notice: Notice (8): Undefined index:  name in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/admin.ctp, line 6]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:43:55 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:44:34 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:44:34 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:44:34 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:44:34 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:44:34 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:44:34 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:44:34 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:44:34 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:44:34 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
2010-07-26 10:44:34 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 7]
2010-07-26 10:44:34 Notice: Notice (8): Undefined variable: appConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/views/layouts/default.ctp, line 34]
